city, pop_2015, pop_2010, lat, lon
El Monte,116,732,113,475,34.0746,-118.0291
Springfield,116,565,116,250,39.7639,-89.6708
Round Rock,115,997,99,887,30.5237,-97.6674
Wilmington,115,933,106,476,34.2092,-77.8858
Arvada,115,368,106,433,39.8097,-105.1066
Provo,115,264,112,488,40.2453,-111.6448
Peoria,115,070,115,007,40.7523,-89.6171
Lansing,115,056,114,297,42.7098,-84.5562
Downey,114,219,111,772,33.9382,-118.1309
Carlsbad,113,453,105,328,33.1239,-117.2828
Costa Mesa,113,204,109,960,33.6659,-117.9123
Miami Gardens,113,187,107,167,25.9489,-80.2436
Westminster,113,130,106,114,39.8822,-105.0644
Clearwater,113,003,107,685,27.9795,-82.7663
Fairfield,112,970,105,321,38.2568,-122.0397
Rochester,112,225,106,769,44.0154,-92.4772
Elgin,112,111,108,188,42.0396,-88.3217
Temecula,112,011,100,097,33.5019,-117.1246
West Jordan,111,946,103,712,40.6023,-112.0010
Inglewood,111,666,109,673,33.9561,-118.3443
Richardson,110,815,99,223,32.9723,-96.7081
Lowell,110,699,106,519,42.6389,-71.3221
Gresham,110,553,105,594,45.5023,-122.4416
Antioch,110,542,102,372,37.9775,-121.7976
Cambridge,110,402,105,162,42.3760,-71.1183
High Point,110,268,104,371,35.9855,-79.9902
Billings,110,263,104,170,45.7895,-108.5499
Manchester,110,229,109,565,42.9847,-71.4439
Murrieta,109,830,103,466,33.5719,-117.1907
Centennial,109,741,100,377,39.5906,-104.8691
Richmond,109,708,103,701,37.9530,-122.3594
Ventura,109,708,106,433,34.2681,-119.2550
Pueblo,109,412,106,595,38.2731,-104.6124
Pearland,108,821,91,252,29.5544,-95.2958
Waterbury,108,802,110,366,41.5585,-73.0367
West Covina,108,484,106,098,34.0559,-117.9099
North Charleston,108,304,97,471,32.8853,-80.0169
Everett,108,010,103,019,48.0033,-122.1742
College Station,107,889,93,857,30.6013,-96.3144
Palm Bay,107,888,103,190,27.9856,-80.6626
